SRR_ID	sample_type	tissue	biosample_description	experiment	design
SRR25779122	K7M2	lung_tumor		RNAseq	lung, D14 after orthotopic implantation of K7M2 cells in balb/c mice, biol rep 3
SRR25779123	K7M2	lung_tumor		RNAseq	lung, D14 after orthotopic implantation of K7M2 cells in balb/c mice, biol rep 2
SRR25779124	K7M2	lung_tumor		RNAseq	lung, D14 after orthotopic implantation of K7M2 cells in balb/c mice, biol rep 1
SRR18218812	K7M2	primary_tumor		RNAseq	SFV-Luc; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218813	K7M2	primary_tumor		RNAseq	SFV-Luc; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218814	K7M2	primary_tumor		RNAseq	SFV-Luc; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218815	K7M2	primary_tumor		RNAseq	PBS; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218816	K7M2	primary_tumor		RNAseq	PBS; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218817	K7M2	primary_tumor		RNAseq	PBS; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218818	K7M2	primary_tumor		RNAseq	PBS; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR18218819	K7M2	primary_tumor		RNAseq	PBS; Analyses of prometastasic gene profile and immune infiltration in K7M2 osteosarcoma mouse model after treatment with SFV vectors expressing galectin-3 inhibitor.
SRR30345422	F420	lung_tumor		spatialRNA	F420, lung met Visium; Aberrant activation of wound healing programs within the metastatic niche facilitates lung colonization by osteosarcoma cells
SRR30345423	F420	lung_tumor		spatialRNA	F420, lung met Visium; Aberrant activation of wound healing programs within the metastatic niche facilitates lung colonization by osteosarcoma cells
SRR39660984	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660988	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660989	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660990	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660991	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660992	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660993	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660994	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660995	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39660996	BALBc	colon		RNAseq	BALBc sham; An orally active, gut-enriched AhR agonist demonstrates therapeutic efficacy in colitis through regulation of inflammation, barrier homeostasis, and fibrosis
SRR39394558	C57BL6	liver		RNAseq	Total RNA was extracted from hepatocellular carcinoma (HCC) tissue of mice with hydrodynamic-induced liver cancer using TRIzol reagent.
SRR39394566	C57BL6	liver		RNAseq	Total RNA was extracted from mouse liver tissue using TRIzol reagent.
SRR39394559	C57BL6	liver		RNAseq	Total RNA was extracted from mouse liver tissue using TRIzol reagent.
SRR39394560	C57BL6	liver		RNAseq	Total RNA was extracted from mouse liver tissue using TRIzol reagent.
SRR39394569	C57BL6	placenta		RNAseq	Total RNA was extracted from mouse placental tissue using TRIzol reagent.
SRR39394561	C57BL6	placenta		RNAseq	Total RNA was extracted from mouse placental tissue using TRIzol reagent. 
SRR39394562	C57BL6	placenta		RNAseq	Total RNA was extracted from mouse placental tissue using TRIzol reagent.
SRR39394563	C57BL6	fetus		RNAseq	Total RNA was extracted from mouse fetal tissue using TRIzol reagent.
SRR39394574	C57BL6	fetus		RNAseq	Total RNA was extracted from mouse fetal tissue using TRIzol reagent.
SRR39394575	C57BL6	fetus		RNAseq	Total RNA was extracted from mouse fetal tissue using TRIzol reagent.
SRR36722024	C57BL6	lung		RNAseq	bulk_mRNA-seq_uninfected_B6_lung_4, mRNA-seq; Mus musculus; RNA-Seq
SRR36722025	C57BL6	lung		RNAseq	bulk_mRNA-seq_uninfected_B6_lung_3, mRNA-seq; Mus musculus; RNA-Seq
SRR36722028	C57BL6	lung		RNAseq	bulk_mRNA-seq_uninfected_B6_lung_2, mRNA-seq; Mus musculus; RNA-Seq
SRR36722043	C57BL6	lung		RNAseq	bulk_mRNA-seq_uninfected_B6_lung_1, mRNA-seq; Mus musculus; RNA-Seq
SRR36707628	C57BL6	lung		RNAseq	uninfected, negative; G1m4_4; Mus musculus; RNA-Seq
SRR36707629	C57BL6	lung		RNAseq	uninfected, negative; G1m3_4; Mus musculus; RNA-Seq
SRR36707630	C57BL6	lung		RNAseq	uninfected, negative; G1m2_4; Mus musculus; RNA-Seq
SRR36707631	C57BL6	lung		RNAseq	uninfected, negative; G1m1_4; Mus musculus; RNA-Seq 
