Sample_ID	Protocol	Abort	Rerun	Sample_Project	Sample_group	Name	Model	Species	Reference	Seq_Plus	Tissue	Tumor_Type	CvsN	Index_Type	Index_well	index	Prep_Date	Submit_Date	Platform	Fraction	cells_targeted	PI	Description	link_folder	tar_folder	subset_nCount_RNA_min	subset_nCount_RNA_max	subset_percent.mt_max	cluster_label
S0066	3GEX	N	N	R0027		B6 ctrl lung Epcam postive:negative 1:1	Black 6	mouse	10x-mouse		lung		SC	SI-GA-	F9	SI-GA-F9	6/12/2020	6/26/2020	NS_S2	0.14	13860	R. Roberts	Black 6 mice were injected with F420-RFP			1000	90000	30	C57BL6_lung
S0067	3GEX	N	N	R0027		"B6, F420 injected, lungs from ROB 273 A, B, D; Epcam postive:negative 1:1"	F420	mouse	10x-mouse		lung	OS	SC	SI-GA-	G9	SI-GA-G9	6/12/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Black 6 mice were injected with F420-RFP			1000	100000	30	C57BL6_F420_lung_1
S0068	3GEX	N	N	R0027		"B6, F420 injected, lungs from ROB 273E and ROB 274A; Epcam postive:negative 1:1"	F420	mouse	10x-mouse		lung	OS	SC	SI-GA-	H9	SI-GA-H9	6/12/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Black 6 mice were injected with F420-RFP			1000	120000	30	C57BL6_F420_lung_2
S0074	3GEX	N	N	R0027		Balb/c ctrl lung Epcam postive:negative 1:1	BALB/c	mouse	10x-mouse		lung		SC	SI-GA-	F10	SI-GA-F10	6/23/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Balb/c mice were injected with K7M2-RFP			1000	75000	20	BALBC_lung
S0075	3GEX	N	N	R0027		"Balb/c, K7M2 injected, lungs; Epcam postive:negative 1:1"	K7M2	mouse	10x-mouse		lung	OS	SC	SI-GA-	G10	SI-GA-G10	6/23/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Balb/c mice were injected with K7M2-RFP			1000	120000	30	BALBC_K7M2_lung
S0200	3GEX	N	N	R0055		F420 cellculture p17	F420	mouse	10x-mouse		cell culture	OS	SC	SI-GA-	G10	SI-GA-G10	6/27/2022	8/16/2022	NS_S2	0.09	8000	R. Roberts	F420 p17 grown in cell culture and then accutased		220818_A01461_0217_AHFMC2DMXY_Roberts	1000	75000	20	F420_culture
S0201	3GEX	N	N	R0055		K7M2 cellculture p17	K7M2	mouse	10x-mouse		cell culture	OS	SC	SI-GA-	H10	SI-GA-H10	6/27/2022	8/16/2022	NS_S2	0.09	8000	R. Roberts	K7M2 p17 grown in cell culture and then accutased		220818_A01461_0217_AHFMC2DMXY_Roberts	1000	80000	20	K7M2_culture
S0246	3GEX	N	N	R0062		F420 lung mets and niche cells ctrl 	F420	mouse	10x-mouse		lung	OS	SC	SI-TT-	D7	SI-TT-D7	6/13/2023	6/20/2023	NS_SP	0.25	8000	R. Roberts	"control (ROB463B, DOB 12-23-22; ROB463D, DOB8-25-22)"		230626_A01461_0380_BHWWFMDRX2_Roberts	1000	50000	20	C57BL6_F420_lung_3
S0260	3GEX	N	N	R0064		"F420, barcoded, 46 days post TV injection"	F420	mouse	10x-mouse		lung	OS	SC	SI-TT-	B9	SI-TT-B9	8/29/2023	9/11/2023	NS_S1	0.125	8000	R. Roberts	d46 endpoint mets (not sorted for barcoded cells)	230912_Roberts_GSL-AG-3552_3553	230914_A01088_0627_AHKJKNDRX2_Roberts	1000	80000	20	C57BL6_F420_lung_4
S0261	3GEX	N	N	R0064		"F420, barcoded, 46 days post TV injection"	F420	mouse	10x-mouse		lung	OS	SC	SI-TT-	C9	SI-TT-C9	8/29/2023	9/11/2023	NS_S1	0.125	8000	R. Roberts		230912_Roberts_GSL-AG-3552_3553	230914_A01088_0627_AHKJKNDRX2_Roberts	1000	90000	20	C57BL6_F420_lung_5
